SEGMENT,RESTAURANT_COUNT
24641141_S_2,0.0
24641139_S_2,0.0
24641140_N_2,0.0
24641146_NE_2,0.0
24641145_SW_2,0.0
24602120_E_2,0.0
24641146_SW_2,0.0
24641148_E_2,0.0
24641147_NE_2,0.0
24641148_W_2,0.0
28398058_N_2,2.0
1216077645_N_2,2.0
28398168_N_2,0.0
28398169_S_2,0.0
28398167_W_2,0.0
28398166_E_2,0.0
28398168_S_2,0.0
28398169_N_2,0.0
28398175_N_2,0.0
28398174_W_2,0.0
1067698015_NE_2,0.0
28398175_S_2,0.0
1067698017_P_2,0.0
28398176_SE_2,0.0
1067698020_P_2,0.0
28398177_N_2,0.0
28435027_SW_2,0.0
28435029_S_2,0.0
28435028_E_2,0.0
28435027_NE_2,0.0
28398194_E_2,0.0
28398193_S_2,0.0
28398194_W_2,0.0
28398199_E_2,0.0
112044037_SE_2,0.0
112044041_N_2,0.0
112044073_W_2,0.0
28398236_SE_2,0.0
28398235_SW_2,0.0
28398234_NW_2,0.0
28398236_NW_2,0.0
28398237_SW_2,0.0
28398230_NE_2,0.0
28398231_SE_2,0.0
28398233_SW_2,0.0
28398232_N_2,0.0
28398235_NE_2,0.0
28398237_NE_2,0.0
28398238_NE_2,0.0
28398245_NE_2,0.0
28398244_NW_2,0.0
28398243_SE_2,0.0
28398245_SW_2,0.0
28398270_N_2,0.0
28398274_W_2,0.0
28398269_E_2,0.0
28398270_S_2,0.0
28398274_E_2,0.0
28398273_W_2,0.0
1067500151_NE_2,0.0
28398290_NW_2,0.0
28398283_S_2,0.0
28398291_N_2,0.0
28398289_N_2,0.0
28398292_SW_2,0.0
28398288_S_2,0.0
28398289_S_2,0.0
28398286_N_2,0.0
28398287_W_2,0.0
28398286_S_2,0.0
28398287_E_2,0.0
957192277_P_2,0.0
28398290_SE_2,0.0
28398292_NE_2,0.0
28398293_W_2,0.0
28398293_E_2,0.0
28398303_SE_2,0.0
28398297_S_2,0.0
28398296_N_2,0.0
28398302_W_2,0.0
28398303_NW_2,0.0
28398304_W_2,0.0
28398305_S_2,0.0
